uri,acousticness,valence,danceability,energy,key,instrumentalness,liveness,loudness,speechiness,tempo,duration_ms,mood
spotify:track:4WEojtwHd0MUF3sPz5ITAj,0.0133,0.272,0.708,0.758,7,1.04E-05,0.418,-4.453,0.0367,101.017,205200,happy
spotify:track:5Gj1wG8b12VQdEd3hUuSwo,0.127,0.39,0.715,0.635,7,0,0.0862,-6.591,0.0791,112.887,198635,happy
spotify:track:3wYOGJYD31sLRmBgCvWxa4,0.0714,0.472,0.646,0.761,1,0,0.222,-2.557,0.0385,129.916,167308,happy
spotify:track:67CZNsG3SQ1S8O2BsjTo4R,0.0436,0.378,0.619,0.557,10,0,0.112,-7.461,0.0433,74.007,210227,happy
spotify:track:0iBOGfVW1T08dRqtqnMYK0,0.442,0.511,0.51,0.71,1,0.00025,0.0783,-7.516,0.0874,119.951,206930,happy
spotify:track:7xPIlYAQvOubFllPkn8XSL,0.155,0.642,0.756,0.54,6,0,0.0551,-5.456,0.125,108.274,184800,happy
spotify:track:1UotQ5kMAEiCJVisAVkxOh,0.18,0.925,0.705,0.824,2,0,0.0901,-4.825,0.0347,146.999,192046,happy
spotify:track:0VrgIjDkmDwlgZk54Try2u,0.0636,0.334,0.659,0.801,7,0,0.341,-4.234,0.0435,105.991,195452,happy
spotify:track:11xOwUHV7P1q7UpEQuMIrx,0.0625,0.723,0.657,0.614,0,0,0.397,-7.829,0.055,113.009,176283,happy
spotify:track:7Lw5FXm8nhQPvezIpA6jK5,0.00935,0.734,0.713,0.729,7,0.000106,0.0804,-6.027,0.0308,121.975,217493,happy
spotify:track:6KgZeNR9fab84NbLXa81cY,0.6,0.673,0.745,0.555,5,2.08E-05,0.262,-6.806,0.052,118.97,170357,happy
spotify:track:1pfgsjmxVZhoZpeDx6POKv,0.00463,0.508,0.658,0.804,0,0,0.178,-5.735,0.0377,120.047,205793,happy
spotify:track:6J7U49QGecWb3WqIqfSYc0,0.000817,0.771,0.611,0.88,7,1.01E-05,0.0598,-6.571,0.0378,144.996,164200,happy
